Nombre;Movimiento;Tipo;PP;Precision;Damage;Efecto
A bocajarro;Fisico;Lucha;6;3;6A+I;El usuario penaliza su Defensa y Def. Especial igual a I tantos turnos como B.  El Pokemon se posiciona muy cerca de su rival y aprovecha para propinar una lluvia de golpes de forma rapida y energica. Ejecutar este movimiento es algo muy exigente para el fisico del Pokemon, por lo que, durante tantos turnos como B, su Defensa y Defensa especial se veran penalizadas tantos puntos como I.
Absorber;Especial ;Planta;3;3;A;El usuario recupera tantos PS como la mitad del damage.  A traves de energia natural, el Pokemon conecta brevemente con su rival y absorbe parte de su energia vital. Ademas del damage infligido, el usuario recuperara tantos PS como la mitad del damage redondeado a la baja.
Acido;Especial ;Veneno;2;3;2A+B;Con D6 penaliza la Def. Especial igual a B tantos turnos como B.  El usuario expulsa un chorro de acido pestilente. Si obtiene doble 6 en la prueba, el objetivo vera penalizada su Defensa especial tanto como B durante el mismo numero de turnos.
Acua cola;Fisico;Agua ;4;7;5A+B; El Pokemon crea un torbellino de agua alrededor de su cola y ataca con esta.
Acua jet;Fisico;Agua;2;3;2A+B;Aumenta el Impulso igual a B en el siguiente asalto.  Este veloz ataque envuelve al Pokemon en un manto de agua que le proporciona una forma muy aerodinamica, convirtiendolo en un torpedo de agua. La velocidad a la que ataca es tal que en el siguiente asalto tendra un bonificador a su Impulso igual a B
Agilidad;Estado;Psiquico;3;0;-;Bonifica la Velocidad igual a I tantos turnos como I.  Concentrando su energia, el Pokemon consigue mejorar su rapidez y su percepcion. Adquiere un bonificador a su Velocidad igual a I durante tantos turnos como I.
Agua Lodosa;Especial ;Agua;5;8;5A+B;Con D3 penaliza la Precision igual a B tantos turnos como B.  Este movimiento crea una ola de agua mezclada con tierra que cae sobre el objetivo. Si obtiene doble 3, la Precision del rival se vera penalizada igual a B durante tantos turnos como B.
Aguijon letal;Fisico;Bicho;3;3;2A+I;Si vence a un Pokemon, bonifica su Ataque igual a A en el siguiente turno.  Al ejecutar este movimiento, el Pokemon pretende poner fin al combate. Si lo consigue, entrara en un estado de euforia momentanea y, en su siguiente turno, su Ataque tendra un bonificador igual a A.
Amnesia;Estado ;Psiquico;3;0;-;Bonifica la Def. Especial igual a I tantos turnos como I.  Con esta tecnica, el Pokemon protege su mente dejandola en blanco. Gracias a ello, su Defensa especial aumenta tanto como I durante el mismo numero de turnos.
Amortiguador;Estado;Normal;6;0;-;Sana 5A+1 por nivel, pudiendo sanar a otros aliados.  Aunque no es el unico Pokemon que puede utilizarlo, este movimiento es conocido principalmente por Chansey. Concentrando su energia en su piedra oval, la luz que emite tiene efectos sanadores. Gracias a ello, el Pokemon recuperara tantos PS como 5A+1 por nivel. Este movimiento tambien puede utilizarlo para sanar a otros Pokemon, pero debera sacrificar los mismos PS que desee sanar. Tras realizar la prueba, puede elegir sanar tantos PS como el maximo que haya obtenido o menor siempre y cuando tenga una reserva de PS igual o superior.
Antiaereo;Fisico ;Roca;3;3;2A+I;El objetivo cae al suelo tantos turnos como B.  Con Antiaereo, el usuario lanza un proyectil que consigue hacer caer a su objetivo al suelo. Si el rival afectado es de tipo volador o esta bajo los efectos de Leviton, durante tantos turnos como B sera vulnerable a los ataques de tipo tierra. Esta vulnerabilidad sera neutra con excepcion de si su otro tipo (en caso de tenerlo) es resistente o debil, en cuyo caso se aplicaran las modificaciones pertinentes al damage.
